a;b;sum;difference;product;quotient;xor
0;0;0;0;0;;0
0;1;1;-1;0;0.0;1
1;0;1;1;0;inf;1
0;-1;-1;1;0;0.0;-1
-1;0;-1;-1;0;-inf;-1
1;1;2;0;1;1.0;0
-1;-1;-2;0;1;1.0;0
-8635;9660;1025;-18295;-83414100;-1.0;-1031
-3487;-5042;-8529;1555;17581454;0.0;7727
961;-7522;-6561;8483;-7228642;-1.0;-7841
-5003;-6598;-11601;1595;33009794;0.0;2639
3659;2617;6276;1042;9575603;1.0;1138
-6552;8737;2185;-15289;-57244824;-1.0;-15287
8189;2239;10428;5950;18335171;3.0;5954
9101;9379;18480;-278;85358279;0.0;1838
-589;6646;6057;-7235;-3914494;-1.0;-7099
4063;-9590;-5527;13653;-38964170;-1.0;-10923
-6909;-8036;-14945;1127;55520724;0.0;1439
-2679;-586;-3265;-2093;1569894;4.0;2111
-4865;-4435;-9300;-430;21576275;1.0;594
-7281;751;-6530;-8032;-5468031;-10.0;-7840
-3805;8776;4971;-12581;-33392680;-1.0;-11413
6616;-4126;2490;10742;-27297616;-2.0;-2502
9422;5592;15014;3830;52687824;1.0;12566
3939;-5351;-1412;9290;-21077589;-1.0;-7046
-2825;4907;2082;-7732;-13862275;-1.0;-6180
4022;5369;9391;-1347;21594118;0.0;6991
8168;9683;17851;-1515;79090744;0.0;14907
4262;-9017;-4755;13279;-38430454;-1.0;-13215
7616;-1540;6076;9156;-11728640;-5.0;-7108
1664;-5235;-3571;6899;-8711040;-1.0;-4851
4930;-4218;712;9148;-20794740;-2.0;-828
927;-8912;-7985;9839;-8261424;-1.0;-8529
8693;9885;18578;-1192;85930305;0.0;1896
-9413;-4698;-14111;-4715;44222274;2.0;13981
9738;-6280;3458;16018;-61154640;-2.0;-16014
-2384;8023;5639;-10407;-19126832;-1.0;-5657
1771;-1548;223;3319;-2741508;-2.0;-225
6999;8595;15594;-1596;60156405;0.0;15044
-6668;3437;-3231;-10105;-22917916;-2.0;-5991
-6928;8647;1719;-15575;-59906416;-1.0;-15049
-2854;5525;2671;-8379;-15768350;-1.0;-7857
8157;9547;17704;-1390;77874879;0.0;14998
-7165;-1339;-8504;-5826;9593935;5.0;7878
4785;2774;7559;2011;13273590;1.0;6247
5834;9737;15571;-3903;56805658;0.0;12483
748;-4102;-3354;4850;-3068296;-1.0;-4842
517;5812;6329;-5295;3004804;0.0;5297
92;9951;10043;-9859;915492;0.0;9859
1961;8747;10708;-6786;17152867;0.0;9602
4599;7571;12170;-2972;34819029;0.0;3172
8270;4929;13199;3341;40762830;1.0;13071
-7797;9005;1208;-16802;-70211985;-1.0;-15706
-5293;506;-4787;-5799;-2678258;-11.0;-5463
4589;3773;8362;816;17314297;1.0;8016
3488;5603;9091;-2115;19543264;0.0;6211
-1157;-3990;-5147;2833;4616430;0.0;2833
-976;2708;1732;-3684;-2643008;-1.0;-2396
-5594;-3800;-9394;-1794;21257200;1.0;6926
-7810;-5821;-13631;-1989;45462010;1.0;2109
-7599;-1511;-9110;-6088;11482089;5.0;6216
7715;6333;14048;1382;48859095;1.0;1694
6481;8896;15377;-2415;57654976;0.0;15249
-1066;6164;5098;-7230;-6570824;-1.0;-7230
8635;-8868;-233;17503;-76575180;-1.0;-793
-5162;-9909;-15071;4747;51150258;0.0;12957
-6624;8293;1669;-14917;-54932832;-1.0;-14779
-8899;289;-8610;-9188;-2571811;-31.0;-9188
-2534;34;-2500;-2568;-86156;-75.0;-2504
-677;-4978;-5655;4301;3370106;0.0;4565
-6167;4154;-2013;-10321;-25617718;-2.0;-2093
1758;2102;3860;-344;3695316;0.0;3816
-3396;-2958;-6354;-438;10045368;1.0;1742
-5634;1951;-3683;-7585;-10991934;-3.0;-4511
3153;1242;4395;1911;3916026;2.0;2187
2932;3972;6904;-1040;11645904;0.0;1264
2669;1214;3883;1455;3240166;2.0;3795
-2193;7331;5138;-9524;-16076883;-1.0;-5172
8126;-8384;-258;16510;-68128384;-1.0;-16130
-3612;5845;2233;-9457;-21112140;-1.0;-6351
4554;-3843;711;8397;-17501022;-2.0;-7881
-8048;3357;-4691;-11405;-27017136;-3.0;-4723
-1094;-8686;-9780;7592;9502484;0.0;9640
-4883;-7162;-12045;2279;34972046;0.0;2283
-97;821;724;-918;-79637;-1.0;-854
-6544;5;-6539;-6549;-32720;-1309.0;-6539
6054;5974;12028;80;36166596;1.0;240
-9961;3429;-6532;-13390;-34156269;-3.0;-11150
-6038;-1195;-7233;-4843;7215410;5.0;4927
6157;-8617;-2460;14774;-53054869;-1.0;-14758
-7054;-2528;-9582;-4526;17832512;2.0;4690
-8887;-4662;-13549;-4225;41431194;1.0;12419
5454;6459;11913;-1005;35227386;0.0;3189
9286;-2579;6707;11865;-23948594;-4.0;-11861
5803;9711;15514;-3908;56352933;0.0;13124
-5309;-7235;-12544;1926;38410615;0.0;2302
-7858;9130;1272;-16988;-71743540;-1.0;-15644
3481;4452;7933;-971;15497412;0.0;7421
9534;3249;12783;6285;30975966;2.0;10639
-1394;6005;4611;-7399;-8370970;-1.0;-4613
-3537;3684;147;-7221;-13030308;-1.0;-949
-3573;-7290;-10863;3717;26047170;0.0;4493
-7607;-1431;-9038;-6176;10885617;5.0;6176
-1036;-5003;-6039;3967;5183108;0.0;6017
-9204;5484;-3720;-14688;-50474736;-2.0;-13984
-432;911;479;-1343;-393552;-1.0;-545
-8317;-2459;-10776;-5858;20451503;3.0;10726
-5744;-4421;-10165;-1323;25394224;1.0;1835
-7921;5863;-2058;-13784;-46440823;-2.0;-2072
41;4636;4677;-4595;190076;0.0;4661
-405;9150;8745;-9555;-3705750;-1.0;-8747
4708;-6288;-1580;10996;-29603904;-1.0;-2796
-4370;-3937;-8307;-433;17204690;1.0;7793
-198;-537;-735;339;106326;0.0;733
6681;-1351;5330;8032;-9026031;-5.0;-8032
-4339;6028;1689;-10367;-26155492;-1.0;-1919
3461;7620;11081;-4159;26372820;0.0;4161
